dataset,f1_score,recall_minority,precision_recall_auc,balanced_accuracy,max_depth
dataset_950_arsenic-female-lung.csv,0.9078981439811978,0.875,0.973006848526357,0.9312106918238994,25.0
dataset_950_arsenic-female-lung.csv,0.9078981439811978,0.875,0.973006848526357,0.9312106918238994,50.0
dataset_951_arsenic-male-lung.csv,1.0,1.0,0.9937888198757764,1.0,5.0
dataset_951_arsenic-male-lung.csv,1.0,1.0,0.9937888198757764,1.0,10.0
dataset_951_arsenic-male-lung.csv,1.0,1.0,0.9937888198757764,1.0,25.0
dataset_951_arsenic-male-lung.csv,1.0,1.0,0.9937888198757764,1.0,50.0
dataset_954_spectrometer.csv,0.8338792748197164,0.6428571428571429,0.7267545935344848,0.8110837438423646,5.0
dataset_954_spectrometer.csv,0.8539132291771002,0.7857142857142857,0.7482841164571494,0.875615763546798,10.0
dataset_954_spectrometer.csv,0.8586880644617341,0.7142857142857143,0.8010227450077074,0.8467980295566502,25.0
dataset_954_spectrometer.csv,0.8338792748197164,0.6428571428571429,0.6990893764265613,0.8110837438423646,50.0
dataset_968_analcatdata_birthday.csv,0.4603960396039604,0.0,0.45762677315614153,0.5,5.0
dataset_968_analcatdata_birthday.csv,0.4603960396039604,0.0,0.1554937083982163,0.5,10.0
dataset_968_analcatdata_birthday.csv,0.4603960396039604,0.0,0.65684969282919,0.5,25.0
dataset_968_analcatdata_birthday.csv,0.4603960396039604,0.0,0.1554937083982163,0.5,50.0
dataset_984_analcatdata_draft.csv,0.48826291079812206,0.0,0.04573261293406318,0.5,5.0
dataset_984_analcatdata_draft.csv,0.48826291079812206,0.0,0.04573261293406318,0.5,10.0
dataset_984_analcatdata_draft.csv,0.48826291079812206,0.0,0.04573261293406318,0.5,25.0
dataset_984_analcatdata_draft.csv,0.48826291079812206,0.0,0.04573261293406318,0.5,50.0
dataset_987_collins.csv,0.9622641509433962,0.875,0.9518408197076675,0.9375,5.0
dataset_987_collins.csv,1.0,1.0,0.9583333333333333,1.0,10.0
dataset_987_collins.csv,0.9622641509433962,0.875,0.9424721790890269,0.9375,25.0
dataset_987_collins.csv,1.0,1.0,0.9583333333333333,1.0,50.0
dataset_1000_hypothyroid.csv,0.4814305364511692,0.0,0.9990297764037253,0.5,5.0
dataset_1000_hypothyroid.csv,0.7645221736414742,0.25925925925925924,0.998995456171416,0.6296296296296297,10.0
dataset_1000_hypothyroid.csv,0.6799825084885276,0.04938271604938271,0.9989972948645807,0.5246913580246914,25.0
dataset_1000_hypothyroid.csv,0.7358430473278553,0.18518518518518517,0.9990054631761092,0.5925925925925926,50.0
dataset_1002_ipums_la_98-small.csv,0.4715160075329567,0.0,0.9668892442848744,0.5,5.0
dataset_1002_ipums_la_98-small.csv,0.4715160075329567,0.0,0.9671031335091262,0.5,10.0
dataset_1002_ipums_la_98-small.csv,0.4715160075329567,0.0,0.9672507468566792,0.5,25.0
dataset_1002_ipums_la_98-small.csv,0.4715160075329567,0.0,0.9672137643539034,0.5,50.0
dataset_1014_analcatdata_dmft.csv,0.4376470588235294,0.0,0.22497340456960624,0.5,5.0
dataset_1014_analcatdata_dmft.csv,0.4376470588235294,0.0,0.22497340456960624,0.5,10.0
dataset_1014_analcatdata_dmft.csv,0.4376470588235294,0.0,0.22497340456960624,0.5,25.0
dataset_1014_analcatdata_dmft.csv,0.4376470588235294,0.0,0.22497340456960624,0.5,50.0
dataset_1016_vowel.csv,0.9457864313964102,0.8125,0.9677882339015151,0.90625,5.0
dataset_1016_vowel.csv,0.9642470205850487,0.875,0.9613915690883807,0.9375,10.0
dataset_1016_vowel.csv,0.9550680786686838,0.84375,0.9652281746031746,0.921875,25.0
dataset_1016_vowel.csv,0.9733265477188361,0.90625,0.9668839126559715,0.953125,50.0
dataset_1018_ipums_la_99-small.csv,0.483852140077821,0.0,0.9850191203531864,0.5,5.0
dataset_1018_ipums_la_99-small.csv,0.483852140077821,0.0,0.985549773603335,0.5,10.0
dataset_1018_ipums_la_99-small.csv,0.483852140077821,0.0,0.9861631768531898,0.5,25.0
dataset_1018_ipums_la_99-small.csv,0.483852140077821,0.0,0.986585151997859,0.5,50.0
dataset_1020_mfeat-karhunen.csv,0.9165731977493303,0.7115384615384616,0.9596964313441263,0.8557692307692308,5.0
dataset_1020_mfeat-karhunen.csv,0.9397540871374976,0.7884615384615384,0.9611381203731323,0.8942307692307692,10.0
dataset_1020_mfeat-karhunen.csv,0.9453249275994019,0.8269230769230769,0.9615509370155702,0.9125491297024144,25.0
dataset_1020_mfeat-karhunen.csv,0.9510758776896941,0.8269230769230769,0.9634722353482186,0.9134615384615384,50.0
dataset_1021_page-blocks.csv,0.9089498792933935,0.76,0.9981978141049365,0.8759072305593452,5.0
dataset_1021_page-blocks.csv,0.9409991277259088,0.8628571428571429,0.9975425071066852,0.9273358019879165,10.0
dataset_1021_page-blocks.csv,0.9464035385497859,0.8857142857142857,0.9984777037992805,0.9384233092964334,25.0
dataset_1021_page-blocks.csv,0.9466178855019113,0.8914285714285715,0.9985395456373536,0.9409393880335217,50.0
dataset_1022_mfeat-pixel.csv,0.9840424117235081,0.9423076923076923,0.9789779000228926,0.9711538461538461,5.0
dataset_1022_mfeat-pixel.csv,0.9840424117235081,0.9423076923076923,0.9793175935229637,0.9711538461538461,10.0
dataset_1022_mfeat-pixel.csv,0.9840424117235081,0.9423076923076923,0.980050260710638,0.9711538461538461,25.0
dataset_1022_mfeat-pixel.csv,0.9840424117235081,0.9423076923076923,0.9786504496954425,0.9711538461538461,50.0
dataset_1039_hiva_agnostic.csv,0.489738430583501,0.0,0.08909734953246648,0.5,5.0
dataset_1039_hiva_agnostic.csv,0.489738430583501,0.0,0.13608281345795042,0.5,10.0
dataset_1039_hiva_agnostic.csv,0.489738430583501,0.0,0.08824721858930476,0.5,25.0
dataset_1039_hiva_agnostic.csv,0.489738430583501,0.0,0.07714528727130354,0.5,50.0
dataset_1049_pc4.csv,0.6800793312746247,0.06779661016949153,0.6500817471442427,0.5338983050847458,5.0
dataset_1049_pc4.csv,0.7458645725326412,0.3220338983050847,0.7065364778851813,0.655725943861537,10.0
dataset_1049_pc4.csv,0.7458899951747495,0.3389830508474576,0.6377798771362774,0.6628777688099722,25.0
dataset_1049_pc4.csv,0.7079611192422364,0.2711864406779661,0.6401297335896053,0.6276567124024751,50.0
dataset_1050_pc3.csv,0.595182501886342,0.04081632653061224,0.26432622133972994,0.5180215284204374,5.0
dataset_1050_pc3.csv,0.5542675341835545,0.08163265306122448,0.3035526711232774,0.5276898348838343,10.0
dataset_1050_pc3.csv,0.5574046229672881,0.10204081632653061,0.26828568901713323,0.5343139642491841,25.0
dataset_1050_pc3.csv,0.5856815155869503,0.12244897959183673,0.3024228858059033,0.5480979981491403,50.0
dataset_1056_mc1.csv,0.7040067055777086,0.2222222222222222,0.27312107049880957,0.6107566268856591,5.0
dataset_1056_mc1.csv,0.7040067055777086,0.2222222222222222,0.29429209081064733,0.6107566268856591,10.0
dataset_1056_mc1.csv,0.7040067055777086,0.2222222222222222,0.3029940894522491,0.6107566268856591,25.0
dataset_1056_mc1.csv,0.7040067055777086,0.2222222222222222,0.3169984230041037,0.6107566268856591,50.0
dataset_311_oil_spill.csv,0.6846035098236132,0.18181818181818182,0.38888095465635575,0.5890572390572391,5.0
dataset_311_oil_spill.csv,0.6846035098236132,0.18181818181818182,0.41004432547840824,0.5890572390572391,10.0
dataset_311_oil_spill.csv,0.6239175247003977,0.09090909090909091,0.3836908173158493,0.5436026936026936,25.0
dataset_311_oil_spill.csv,0.6239175247003977,0.09090909090909091,0.4198776841685357,0.5436026936026936,50.0
dataset_38_sick.csv,0.48614266242616994,0.0,0.9091860580361898,0.5,5.0
dataset_38_sick.csv,0.48614266242616994,0.0,0.9095637751704375,0.5,10.0
