dataset,n_estimators,f1_score,recall_minority,precision_recall_auc,balanced_accuracy
dataset_867_visualizing_livestock.csv,200,0.7388392857142857,0.5714285714285714,0.9338723311324368,0.7388392857142857
dataset_875_analcatdata_chlamydia.csv,10,0.18918918918918917,1.0,0.7813064713545215,0.5
dataset_875_analcatdata_chlamydia.csv,50,0.18918918918918917,1.0,0.7813064713545215,0.5
dataset_875_analcatdata_chlamydia.csv,100,0.18918918918918917,1.0,0.7813064713545215,0.5
dataset_875_analcatdata_chlamydia.csv,200,0.18918918918918917,1.0,0.7813064713545215,0.5
dataset_940_water-treatment.csv,10,0.8086628365438775,0.5,0.8124400369791172,0.7424242424242424
dataset_940_water-treatment.csv,50,0.8924734437375177,0.7692307692307693,0.857641045006623,0.8732517482517483
dataset_940_water-treatment.csv,100,0.9039136331345662,0.7692307692307693,0.8461998953690932,0.877039627039627
dataset_940_water-treatment.csv,200,0.8645334072946936,0.6538461538461539,0.8300401791981693,0.8193473193473193
dataset_947_arsenic-male-bladder.csv,10,0.8839471855455178,0.6,0.9854974359028942,0.8
dataset_947_arsenic-male-bladder.csv,50,0.8839471855455178,0.6,0.9850808557834487,0.8
dataset_947_arsenic-male-bladder.csv,100,0.8839471855455178,0.6,0.9842783278913463,0.8
dataset_947_arsenic-male-bladder.csv,200,0.8839471855455178,0.6,0.9850808557834487,0.8
dataset_949_arsenic-female-bladder.csv,10,0.6504672188836553,0.2777777777777778,0.9700525142739655,0.6187546607009694
dataset_949_arsenic-female-bladder.csv,50,0.6473342489137601,0.2222222222222222,0.9642237546770069,0.5976882923191649
dataset_949_arsenic-female-bladder.csv,100,0.6473342489137601,0.2222222222222222,0.9667563679082638,0.5976882923191649
dataset_949_arsenic-female-bladder.csv,200,0.6473342489137601,0.2222222222222222,0.9681119143421099,0.5976882923191649
dataset_950_arsenic-female-lung.csv,10,0.9078981439811978,0.875,0.9739801938393249,0.9312106918238994
dataset_950_arsenic-female-lung.csv,50,0.9306190278354798,0.75,0.9729676655255644,0.875
dataset_950_arsenic-female-lung.csv,100,0.9306190278354798,0.75,0.9729676655255644,0.875
dataset_950_arsenic-female-lung.csv,200,0.8963786395916208,0.75,0.9729676655255644,0.8718553459119497
dataset_951_arsenic-male-lung.csv,10,1.0,1.0,0.9937888198757764,1.0
